index,video_id,class,kinetics_start,kinetics_end,repetition_start,repetition_end,count
104,u45qCLuwa7I,exercising arm,38,48,45.941275,47.943277,9
130,BFPKPjBgXIU,bench pressing,22,32,22.0,32.0,3
131,DnMx7EjjmFo,bench pressing,11,21,14.16,21.0,5
132,ExiJ7qKakH4,bench pressing,0,10,0.0,9.97794,6
133,E9KZOVuBRfA,bench pressing,35,45,35.0,45.0,11
134,FyYRvnHdOgU,bench pressing,3,13,3.700701,10.07374,5
135,F4wlWyvtxfo,bench pressing,11,21,16.241379,21.0,4
136,GBKkhCC_RB0,bench pressing,36,46,36.0,45.976643,4
137,HytyY6-U2Cs,bench pressing,62,72,62.0,69.18349,2
138,IG71aOJQR60,bench pressing,7,17,8.7,17.0,2
139,KI4qhHcicjQ,bench pressing,28,38,28.0,38.0,2
140,KudgrrM7ep0,bench pressing,15,25,15.0,21.666667,2
141,LSZVUPkSswo,bench pressing,8,18,8.0,14.000135,3
142,LlhMJGUP2W8,bench pressing,0,10,1.601602,9.209209,2
143,MLLbKM7T41Y,bench pressing,20,30,20.0,29.985092,6
144,MsAZvmo1Nww,bench pressing,16,26,16.0,23.674341,3
145,NX5TcYEILhI,bench pressing,0,10,0.0,8.575242,9
146,OQG-2AODGnU,bench pressing,16,26,16.0,25.956361,4
147,Pc584-1gHSM,bench pressing,25,35,25.270398,33.517542,4
148,P2hB8qC6a84,bench pressing,16,26,16.0,25.948946,5
149,QOGgOFMWd-A,bench pressing,1,11,7.133333,11.0,3
150,QfU0gTCDcFg,bench pressing,9,19,9.0,18.976643,4
151,Q8hAgtaL-5s,bench pressing,2,12,2.0,12.0,5
152,RANIF8umZiI,bench pressing,16,26,21.4,26.0,2
153,RoX6SR6RyL8,bench pressing,0,10,4.8,10.0,3
154,Ss7rqrjXGJo,bench pressing,11,21,11.0,18.707708,10
155,Ss7rqrjXGJo,bench pressing,11,21,19.074741,20.976643,3
156,S6vQ1lXVuSo,bench pressing,7,17,7.0,17.0,5
157,TBMZywwPn1Q,bench pressing,4,14,10.4,14.0,2
158,T0NBMgnpNBM,bench pressing,39,49,39.0,48.976643,7
159,aDMJN5P4frE,bench pressing,41,51,41.0,51.0,3
160,anqK2f6p-bs,bench pressing,0,10,0.0,10.0,8
161,ayf46kiTMe8,bench pressing,0,10,0.0,5.34813,5
162,ayf46kiTMe8,bench pressing,0,10,6.284053,9.994318,3
163,c8u7KHlpLx4,bench pressing,290,300,291.034368,296.57324,2
164,d8w-VtuwFBA,bench pressing,6,16,11.033333,16.0,2
165,ehSg3cfjj6s,bench pressing,611,621,616.438772,620.976643,2
166,epqJH5Uow30,bench pressing,29,39,29.1001,38.943277,2
167,fo1u8bJGqGs,bench pressing,170,180,172.335669,179.976643,3
168,gWszV_R2qsk,bench pressing,3,13,3.0,13.0,6
169,g57EvZXAmAw,bench pressing,4,14,4.0,11.941275,2
170,hOKl7sjMeNU,bench pressing,11,21,15.237571,20.976643,4
171,hiVe2eAjRUw,bench pressing,17,27,17.0,25.108108,3
172,k5fWvRy20r0,bench pressing,13,23,13.0,23.0,5
173,lO-QBT_7QqI,bench pressing,7,17,8.801802,14.674341,3
174,m18y6duHJoE,bench pressing,13,23,13.0,22.216667,2
175,nFCFpSgazyU,bench pressing,34,44,34.233333,44.0,4
176,sGSKsDVQnN0,bench pressing,15,25,15.0,19.333333,2
177,sd4DxaP5yuQ,bench pressing,14,24,14.0,19.0,3
178,ujlIhsqKMI0,bench pressing,13,23,13.0,19.206206,4
179,uplZG4ItXHo,bench pressing,22,32,22.8,32.0,3
180,wJy2mDcwOus,bench pressing,4,14,4.0,14.0,4
181,yJQ_zMEBxK4,bench pressing,2,12,2.0,12.0,3
182,1bFWbJLYvvs,bench pressing,3,13,3.0,9.339673,2
183,3MbLV9MjhUk,bench pressing,3,13,3.5,12.966667,6
184,32L9h_1yByY,bench pressing,16,26,16.0,25.976643,3
185,60ec-oicWyE,bench pressing,38,48,38.0,45.173841,2
186,7QAMesOwGe8,bench pressing,13,23,13.0,23.0,4
187,-SFnrG0O-2E,bench pressing,191,201,191.0,197.57324,2
188,_j-FyEoQ0jg,bench pressing,182,192,189.173841,191.976643,2
796,AKz7153Ayz4,exercising arm,18,28,18.0,27.976643,3
797,APTrC7Yce1A,exercising arm,33,43,33.0,42.943277,6
798,Af_nhTbepUk,exercising arm,53,63,53.0,62.44,4
799,AszTULbxaB0,exercising arm,1,11,1.0,10.976643,4
800,A4tWEAGitpc,exercising arm,11,21,11.0,19.291667,2
801,BRmGzz8yAGc,exercising arm,7,17,7.0,12.472139,2
802,BqjVG2vCMAM,exercising arm,94,104,94.0,102.883884,13
803,BqjVG2vCMAM,exercising arm,94,104,102.967301,103.968302,2
804,Ci71y8BoY-w,exercising arm,316,326,316.0,321.839173,2
805,Cp0scH21m6E,exercising arm,3,13,4.348436,12.978425,4
806,C0cwMx-GQEg,exercising arm,105,115,110.505506,114.676343,3
807,C8warOmBnuc,exercising arm,1,11,1.08,11.0,4
808,D97MTFqFisk,exercising arm,69,79,69.533867,78.976643,2
809,Eat4ccTv250,exercising arm,61,71,61.0,71.0,3
810,EorIwBK8NIQ,exercising arm,10,20,13.169837,19.976643,3
811,EzRmVRkpF-c,exercising arm,3,13,3.0,12.976643,3
812,FADtZYbS3SA,exercising arm,0,10,0.0,5.59322,4
813,FADtZYbS3SA,exercising arm,0,10,5.728814,10.0,3
814,FDyDX2vTXYE,exercising arm,10,20,10.0,16.450695,7
815,F3jZ_3hUrWc,exercising arm,395,405,395.959923,404.959203,5
816,GXXICmsGMF0,exercising arm,0,10,4.04,10.0,3
817,GlWwojATv5k,exercising arm,528,538,529.001001,533.572239,4
818,GlWwojATv5k,exercising arm,528,538,533.772439,536.508509,3
819,G3ult0A6WMw,exercising arm,65,75,65.0,74.943277,3
820,G__9za6MzoU,exercising arm,55,65,55.0,65.0,6
821,HJqE9C9iTpg,exercising arm,16,26,16.0,25.133333,4
822,IBpTdmSeYKw,exercising arm,168,178,168.0,178.0,3
823,I1EgU_wD7AQ,exercising arm,31,41,31.0,38.833333,2
825,JiHaOoW05o0,exercising arm,86,96,89.803804,95.242576,2
826,Jn6i6-wH4WY,exercising arm,52,62,52.0,57.505506,4
827,KFtXsvAvDmM,exercising arm,120,130,120.0,130.0,2
828,KhWRMTaZinc,exercising arm,14,24,14.0,23.743076,3
829,LLiYL5ELL8Q,exercising arm,3,13,3.0,12.976643,2
830,LjF_Ey2YiQM,exercising arm,0,10,0.0,9.209209,2
831,MFC3rk_OId0,exercising arm,46,56,47.2,56.0,5
832,MQcV9IsOhmE,exercising arm,3,13,3.0,10.366667,3
833,M50TEF_BhcM,exercising arm,33,43,33.2002,41.541875,9
834,NIC3DGW1HfE,exercising arm,1,11,1.0,7.106106,3
835,NhEbIlzVc_U,exercising arm,84,94,84.0,87.303303,5
836,NhEbIlzVc_U,exercising arm,84,94,90.840174,93.976643,5
837,N_2aT4BrK-E,exercising arm,9,19,9.0,18.976643,3
838,Ogs6TDvMN2Q,exercising arm,1,11,3.035369,10.275943,4
839,PEhpLeYf3Ck,exercising arm,98,108,99.8,105.533333,5
840,QgtH6KMavAg,exercising arm,454,464,458.471138,463.776443,4
841,R05Ot51EZxU,exercising arm,10,20,10.0,13.979667,3
842,R05Ot51EZxU,exercising arm,10,20,15.334091,19.965889,4
843,SaemUgFoKaU,exercising arm,90,100,90.0,99.976643,4
844,TLEviNwLd0I,exercising arm,0,10,0.066667,8.833333,3
845,T1op3DkepxU,exercising arm,15,25,17.869536,24.476143,3
846,UBkYEQ-eN_w,exercising arm,34,44,38.666667,44.0,3
847,UGSwVRU_MQ4,exercising arm,450,460,450.0,460.0,3
848,UHYtzmgQ46E,exercising arm,1,11,6.08,11.0,2
849,VBf2vI3BXB8,exercising arm,16,26,16.0,25.976643,2
850,VrMiAXQzkPo,exercising arm,64,74,64.0,70.339673,2
851,VrMiAXQzkPo,exercising arm,64,74,70.439773,73.943277,2
852,W9fgamkSb1U,exercising arm,44,54,44.0,54.0,20
853,XLjbgCM4Y6I,exercising arm,0,10,0.0,7.340674,2
854,X07dSLj9kcg,exercising arm,330,340,330.0,339.943277,5
855,X4wDuKUAfcQ,exercising arm,1,11,4.744775,9.772293,2
856,ZkKWy3p-ohY,exercising arm,208,218,208.0,217.976643,5
857,Z1UBYA_c9wY,exercising arm,0,10,0.0,9.994986,3
858,aaa_zb7GwWc,exercising arm,0,10,6.0,8.333333,3
859,bbuh4OovBto,exercising arm,27,37,27.0,36.943277,4
860,bl0J_8pKDVk,exercising arm,49,59,49.0,57.074741,7
861,dhdKkkgKtjg,exercising arm,379,389,381.702703,388.70971,3
863,fEh_nhChKEk,exercising arm,7,17,9.352353,16.976643,4
864,gFMSS3pKM4Y,exercising arm,0,10,0.0,10.0,4
865,gkHrikKl93s,exercising arm,1,11,1.0,11.0,3
866,ieps1GV1aeI,exercising arm,116,126,116.0,125.933333,6
867,k6yB-jH7y_Q,exercising arm,311,321,311.0,321.0,4
868,l76hBV7UzLw,exercising arm,837,847,837.0,839.366667,2
869,l76hBV7UzLw,exercising arm,837,847,840.5,845.733333,4
870,mRyjVquad0k,exercising arm,0,10,4.44,10.0,3
871,oBOyOayYucQ,exercising arm,54,64,54.0,63.976643,5
872,ooRYOIRAfKg,exercising arm,93,103,93.233333,99.433333,4
873,o1vEiDSfufo,exercising arm,91,101,91.0,101.0,4
874,pH0gdQqINyk,exercising arm,1,11,1.0,5.913594,2
875,pnxdMACFtvo,exercising arm,114,124,114.0,120.798465,4
876,qDgPFmg-GFI,exercising arm,0,10,0.533333,10.0,3
877,qKHirCx1Feo,exercising arm,49,59,49.0,53.037371,2
878,qKHirCx1Feo,exercising arm,49,59,53.070737,58.976643,3
879,rM7Q9yfIk0c,exercising arm,0,10,0.0,9.843177,2
880,rNXeVH2XUKg,exercising arm,26,36,26.0,35.943277,5
881,rm36qf_QPzA,exercising arm,6,16,6.0,15.966667,5
882,sM50amoucns,exercising arm,15,25,15.0,18.083334,3
883,sNy43IgJT-g,exercising arm,65,75,65.0,74.968302,5
884,sfs7Nm9qLCo,exercising arm,56,66,62.04,66.0,3
885,uKCNs-uQqm0,exercising arm,0,10,0.0,8.833333,4
886,uogSE4tuIjg,exercising arm,4,14,5.508397,13.955418,2
887,veoRQmL1VQo,exercising arm,39,49,39.966667,43.833333,3
888,veoRQmL1VQo,exercising arm,39,49,43.9,48.966667,3
889,wgXd4uDG5NM,exercising arm,0,10,0.4004,9.976643,5
890,xetsmsbgaJ8,exercising arm,191,201,192.034368,200.943277,2
891,yet9ZiqPQ_Y,exercising arm,36,46,42.139473,45.976643,7
892,y9vkslAzNUY,exercising arm,52,62,52.0,58.577296,5
893,y9vkslAzNUY,exercising arm,52,62,59.455942,61.991465,2
894,6C_nL3N0ZLo,exercising arm,3,13,3.0,8.966667,5
895,6ZAAuHQIYg0,exercising arm,50,60,50.0,59.042376,2
896,6Z4SrAjy5aQ,exercising arm,5,15,5.0,13.308308,2
897,7Mjn3jrBeuQ,exercising arm,29,39,29.0,35.072739,4
898,7Mjn3jrBeuQ,exercising arm,29,39,35.67334,38.943277,2
899,7X_6VXhAbZ4,exercising arm,931,941,931.500542,937.173354,3
900,7X_6VXhAbZ4,exercising arm,931,941,937.507049,939.926337,2
901,7i6ttTxfbyA,exercising arm,53,63,53.0,63.0,2
902,78UtcvyeTnc,exercising arm,47,57,47.0,56.968302,8
903,8Vk-ESIHNBQ,exercising arm,9,19,9.0,19.0,6
904,8cGA2tLn70Q,exercising arm,12,22,12.0,22.0,2
905,8kkfUwRmDoI,exercising arm,10,20,10.0,20.0,4
906,9uq93pDWHbE,exercising arm,193,203,193.0,202.943277,3
907,_Mdd5Lc0lzg,exercising arm,13,23,13.0,22.015025,5
908,_ujG14Akcac,exercising arm,33,43,35.102102,42.943277,2
909,ABUjxBkFUWA,front raises,37,47,37.701725,41.375464,2
910,A68J41gXTyY,front raises,4,14,4.0,10.047714,3
911,BBTHNwPx_do,front raises,2,12,2.0,9.807808,3
912,CQDBpBmzYaQ,front raises,0,10,7.007007,9.968302,3
913,C29kvQkzadQ,front raises,17,27,17.900901,26.976643,2
914,C52j69LRW5Q,front raises,0,10,2.769436,9.976643,4
915,DfawoubB5R4,front raises,1,11,3.0,10.92,4
916,D7C85qKg_Gk,front raises,18,28,18.0,23.488822,3
917,EMm7fbm9nus,front raises,1,11,1.0,10.968302,4
918,Eeqcp42rIGs,front raises,5,15,5.0,14.409409,6
919,EvYK2eA7xVw,front raises,5,15,9.958333,15.0,2
920,FQG7XicPl3U,front raises,14,24,19.188522,23.976643,3
921,GH4Z41Wn3KQ,front raises,46,56,46.0,49.303303,2
922,GTAH6-CL4Ys,front raises,2,12,2.0,8.17284,3
923,GcWgWifEdyg,front raises,88,98,88.0,97.933333,4
924,HIt1RcdVapg,front raises,5,15,5.0,9.462022,2
925,HQyIPAJLqlc,front raises,7,17,7.0,13.439773,2
926,HZNs_FOXF14,front raises,2,12,2.0,11.943277,3
927,Heid6l1GHOc,front raises,0,10,0.45045,9.90991,3
928,H7ufIPPvd5U,front raises,2,12,4.6,11.68,2
929,Ix5p_7k676k,front raises,2,12,2.0,5.766667,2
930,Ix5p_7k676k,front raises,2,12,7.933333,12.0,2
931,JQBT1jBkoyQ,front raises,19,29,19.0,26.866667,2
932,JWPJRoehLxg,front raises,43,53,43.0,53.0,5
933,JhoPVQlJhlU,front raises,0,10,0.0,7.666667,2
934,JzLzI-R03ds,front raises,0,10,4.037371,9.976643,4
935,J81S0R4jZfo,front raises,4,14,4.333667,13.976643,5
936,KFKXbf3-Vg8,front raises,11,21,11.0,20.976643,6
937,KsSPKSXkphg,front raises,2,12,2.900901,9.941275,3
938,L21gCms-JYw,front raises,3,13,4.001001,10.707708,3
939,MKni-WE_EJA,front raises,10,20,10.0,19.976643,4
940,MQ8inujgTR0,front raises,11,21,12.766667,17.666667,2
941,Ma_6eNkNSJU,front raises,5,15,5.0,14.976643,6
942,MfNYw7drgw4,front raises,0,10,0.0,7.413793,4
943,NCsAAUM_NTY,front raises,10,20,10.0,20.0,6
944,NiZa1nz1jhU,front raises,0,10,0.0,10.0,6
945,ODPGbGJPJOE,front raises,76,86,76.0,85.976643,6
946,OqGJiF2uNFY,front raises,2,12,2.0,6.754755,3
947,OqGJiF2uNFY,front raises,2,12,9.340674,11.968302,2
948,O2yGGRuKXto,front raises,5,15,5.0,14.976643,7
949,O3K-uKeobMw,front raises,2,12,6.666667,12.0,3
950,P-6nG5rM7YQ,front raises,0,10,0.333333,6.1,3
951,P-6nG5rM7YQ,front raises,0,10,6.8,10.0,2
952,Q5ukigw09I0,front raises,0,10,0.0,7.657658,3
953,SM8QucBW7VE,front raises,2,12,7.972639,11.976643,2
954,T46_ndLYFe4,front raises,0,10,0.0,10.0,5
955,Vw0nq7cPDcg,front raises,4,14,4.0,13.976643,12
956,V3RdM_Qf1CY,front raises,8,18,8.0,17.926593,3
957,WGcw4dPg0Qs,front raises,7,17,7.0,17.0,7
958,XV3_pSSGqbA,front raises,0,10,0.0,6.239573,5
959,XoEAo1jWHB4,front raises,2,12,2.966667,12.0,4
960,X86TOmc07sA,front raises,1,11,1.0,8.921917,3
961,YW2Z0KDK1Iw,front raises,18,28,18.0,27.043194,5
962,aN9PmVjbwqo,front raises,5,15,5.0,13.375042,5
963,aXs3nGPIdW4,front raises,10,20,10.0,20.0,3
964,bRYkhg1jz3M,front raises,1,11,1.0,10.976643,5
965,bhjtEvQ_PP8,front raises,2,12,2.0,8.366667,3
966,bycf-KRhGts,front raises,8,18,8.5,18.0,6
967,b5fKZcvZ9xw,front raises,0,10,0.0,9.384384,3
968,b7pHrYAitKU,front raises,0,10,0.0,9.976643,6
969,cEvK2aS5ehU,front raises,14,24,14.0,22.975642,6
970,ci46dm87tfo,front raises,0,10,0.033367,9.976643,4
971,dBCmbYuAK7w,front raises,7,17,7.966667,15.966667,4
972,dMLonKJ2oBg,front raises,9,19,10.0,15.566667,3
973,dSUqi2thxAE,front raises,1,11,1.0,11.0,7
974,e3JvRiHmnI0,front raises,3,13,3.766667,12.566667,4
975,fFCbUAZz3oc,front raises,7,17,11.037371,16.976643,2
976,fZrwazqph2g,front raises,4,14,4.0,13.976643,5
977,fcbdbV8aXHc,front raises,2,12,2.0,11.6,6
978,f0EJIyEqKDg,front raises,3,13,3.0,11.742075,6
979,f83jTVAR_XY,front raises,4,14,4.0,13.976643,6
980,gWYAcOfnKys,front raises,3,13,3.567234,11.942276,3
981,gp71eVqIbpE,front raises,2,12,2.0,9.36,2
982,g4FMo-eQv-M,front raises,0,10,0.05005,6.556557,2
983,hBq3ObGmxKE,front raises,29,39,29.0,35.633333,5
984,iDtN2lN7EPo,front raises,9,19,9.0,18.666667,3
985,ii2Cokl4lc0,front raises,0,10,0.0,6.806807,3
986,jNEaz0Y2kBU,front raises,15,25,18.872605,24.948588,3
987,kCXfIdx_wH4,front raises,5,15,5.0,14.275943,6
988,kL0UYOzU3Hw,front raises,7,17,9.748511,16.432391,4
989,lWJ-xArazzc,front raises,2,12,7.7,12.0,3
990,lZkahBIvJtQ,front raises,12,22,12.0,22.0,8
991,lirLURjxr0E,front raises,3,13,3.2,13.0,3
992,l7QAgN6oRBE,front raises,2,12,2.0,6.921588,2
993,mvObYE1jIMA,front raises,0,10,0.0,10.0,7
994,myQzH7BEd6g,front raises,1,11,1.3,5.833333,2
995,nTi6Els5h9c,front raises,2,12,2.0,11.666667,4
996,n1RjNlg2VPk,front raises,4,14,4.0,11.974641,4
997,of3i0vPTk8c,front raises,9,19,9.1001,14.271939,2
998,of3i0vPTk8c,front raises,9,19,15.406406,18.976643,2
999,olGMSAowyrA,front raises,26,36,27.066667,36.0,4
1000,phzeDHW1qME,front raises,5,15,7.502503,10.739072,2
1001,reraUbcS7RI,front raises,0,10,0.0,10.0,6
1002,s-qdJZ8IRkU,front raises,1,11,3.569236,9.675342,2
1003,tcX2qWFCIik,front raises,6,16,6.0,16.0,4
1004,vF0Gz5AOcSg,front raises,0,10,6.448276,9.862069,2
1005,zQhZ1MOgT9g,front raises,9,19,10.835168,18.976643,2
1006,z-JNOUyV7Nk,front raises,17,27,17.0,25.541875,3
1007,0OpUaIKCDmc,front raises,7,17,7.0,16.960892,5
1008,0cie4Dag5NM,front raises,5,15,5.0,15.0,5
1009,0hhwLMwIwWk,front raises,2,12,2.0,6.992628,3
1010,0_EeIVIi5vU,front raises,12,22,12.0,15.795462,2
1011,0_EeIVIi5vU,front raises,12,22,18.42309,21.968302,2
1012,1AuqtFXflQ4,front raises,14,24,14.166667,24.0,4
1013,1mjrjDOhaV8,front raises,5,15,5.0,15.0,8
1014,1r-kCQoi50A,front raises,0,10,2.969636,9.976643,2
1015,2C6MGHJ9b4k,front raises,0,10,2.366667,10.0,4
1016,2DH_P9OCgU4,front raises,11,21,11.083417,20.976643,3
1017,2h2EMB7Q4KQ,front raises,0,10,0.0,9.976643,7
1018,3Gq5dVaJ7EM,front raises,10,20,10.0,18.341675,4
1019,3wAarCjHT8I,front raises,5,15,5.167129,14.626634,3
1020,4AUXIbTOTsc,front raises,1,11,1.4004,10.976643,5
1021,4Kln9AqLRAA,front raises,11,21,11.0,19.757563,3
1022,4asMwQOZGSU,front raises,27,37,28.666667,37.0,3
1023,4u1SX87_hHk,front raises,8,18,8.433767,17.60961,4
1024,4-s5TIz-YrE,front raises,14,24,14.0,18.6,3
1025,55cNMNGtMVk,front raises,2,12,2.0,12.0,5
1026,6Q-P0jc4_58,front raises,5,15,7.585919,14.968302,2
1027,6gdNjUNfctI,front raises,26,36,26.0,35.366667,6
1028,7TXkYHlaftI,front raises,0,10,0.0,10.0,3
1029,77STyrHkwFM,front raises,5,15,5.233333,15.0,3
1030,78HZ_RkMjX4,front raises,1,11,2.001001,10.976643,3
1031,8HUubi50s54,front raises,5,15,5.0,13.408408,4
1032,8ptyL3caEC8,front raises,0,10,0.0,9.968302,3
1033,89ONF3JWdHw,front raises,95,105,96.12,104.88,4
1034,9JSCtK83Lh0,front raises,0,10,0.233567,8.008008,3
1035,9vI4FnrtKB0,front raises,4,14,4.0,13.64,3
1036,97Ulov2NO30,front raises,7,17,7.0,16.275943,5
1037,-eACihRsUK8,front raises,16,26,16.0,22.406406,2
1038,-8k3AnXTBD8,front raises,47,57,47.0,55.183334,5
1605,Aob-I6gP7Iw,jumping jacks,1,11,1.0,4.770437,3
1606,Aob-I6gP7Iw,jumping jacks,1,11,5.487821,10.042376,7
1607,A9ABeh6UxIE,jumping jacks,0,10,0.0,9.969133,11
1608,BAq26zEd6SE,jumping jacks,31,41,31.0,40.98,6
1609,BF5praFFDRE,jumping jacks,426,436,427.101101,435.943277,6
1610,BHhGGt7hHng,jumping jacks,4,14,4.0,13.941256,10
1611,BNB_2OX8vcI,jumping jacks,15,25,15.0,20.692308,5
1612,BNB_2OX8vcI,jumping jacks,15,25,22.384615,25.0,3
1613,CIg4K8fphrw,jumping jacks,8,18,14.75,18.0,2
1614,CqqZtbnCzTM,jumping jacks,8,18,8.0,17.576243,11
1615,DHbcofP3gkY,jumping jacks,2,12,8.766667,12.0,4
1616,DI6RmQHYduw,jumping jacks,0,10,0.0,6.08,6
1617,Eamw0TjkYdY,jumping jacks,15,25,15.0,25.0,10
1618,F5wAVXgKghc,jumping jacks,5,15,5.0,15.0,10
1619,G5Uvda5mdVk,jumping jacks,0,10,0.7,6.133333,5
1620,G9i6nyErAgE,jumping jacks,278,288,278.0,288.0,20
1621,HqDD2PHO03M,jumping jacks,12,22,12.0,21.968302,8
1622,Iq2V18wd8vM,jumping jacks,31,41,32.5,38.0,5
1623,JAC2Ee3oZdU,jumping jacks,18,28,18.0,22.333333,2
1624,J3348QQ-V1w,jumping jacks,0,10,1.466667,10.0,9
1625,K0rLsoLy1Ak,jumping jacks,0,10,0.367034,5.372039,6
1626,K9xEfrOwWo8,jumping jacks,19,29,19.0,29.0,11
1627,LBAujoJIP84,jumping jacks,0,10,0.366667,6.233333,6
1628,LhNmFoojJg8,jumping jacks,2,12,2.0,11.943277,6
1629,LqwloThYE7Y,jumping jacks,35,45,35.0,44.926593,10
1630,L1NI7gAnLE4,jumping jacks,0,10,0.0,9.1,5
1631,MADJrHyo1t4,jumping jacks,0,10,0.0,5.466667,6
1632,M18u9iUgSvo,jumping jacks,10,20,17.833333,20.0,2
1633,N3W0u17tLXk,jumping jacks,310,320,310.0,320.0,12
1634,OHCjElV7cqM,jumping jacks,29,39,29.933333,35.633333,6
1635,P5ohYhxsYo8,jumping jacks,2,12,2.0,11.976643,5
1636,Q9nrtQsIwOQ,jumping jacks,11,21,12.9,19.266667,3
1637,RfW-KjOYXGE,jumping jacks,9,19,9.0,18.968302,17
1638,Ry2hr9Ff0Fs,jumping jacks,5,15,5.0,14.966667,8
1639,SW10CFQo2lg,jumping jacks,6,16,6.0,9.870537,4
1640,SdHws6i9CUk,jumping jacks,5,15,5.0,14.79409,11
1641,TQgGbpuT0yI,jumping jacks,18,28,20.202202,27.976643,8
1642,TghHFaaZysg,jumping jacks,12,22,12.0,21.92,11
1643,T5a2wjNvOaI,jumping jacks,28,38,28.0,38.0,12
1644,UYbkejYOaII,jumping jacks,8,18,8.0,12.8,5
1645,U3ZT2OunZbI,jumping jacks,0,10,0.0,4.571238,4
1646,WBotkxKIzps,jumping jacks,3,13,5.268936,8.939273,4
1647,Xa5S4zyQQDA,jumping jacks,0,10,0.0,7.173841,7
1648,YhCca7NVWeg,jumping jacks,11,21,11.0,12.768435,2
1649,Zd8JopgebnI,jumping jacks,21,31,21.0,30.976643,10
1650,Zsdwn1oZLU0,jumping jacks,377,387,377.0,381.571238,3
1651,a0THvWEuNTQ,jumping jacks,0,10,0.0,6.006006,6
1652,c6ScBnbLCIs,jumping jacks,58,68,59.034483,67.37931,10
1653,eJaEi7R9AR8,jumping jacks,11,21,11.0,17.066667,7
1654,fGoWWMmutoI,jumping jacks,0,10,0.0,5.872539,6
1655,f-lTLahgneY,jumping jacks,80,90,80.0,89.976643,13
1656,gO3-bEzizrs,jumping jacks,11,21,11.0,14.303303,3
1657,gO7VgD-sptY,jumping jacks,17,27,17.0,20.73707,4
